mov_id,fecha,tipo,sku,cantidad,vendedora_id,destino_id,notas,usuario_email
M0054,2026-01-01T00:00:00-05:00,INGRESO,P045-SM,1,V01,V02,Migración: stock asignado a Nataly según kardex,superadmin@placeholder.com
M0055,2026-01-01T00:00:00-05:00,INGRESO,P045-LXL,1,V01,V02,Migración: stock asignado a Nataly según kardex,superadmin@placeholder.com
M0056,2026-01-01T00:00:00-05:00,INGRESO,P047-SM,1,V01,V02,Migración: stock asignado a Nataly según kardex,superadmin@placeholder.com
M0057,2026-01-01T00:00:00-05:00,INGRESO,P047-LXL,1,V01,V02,Migración: stock asignado a Nataly según kardex,superadmin@placeholder.com
M0058,2026-01-01T00:00:00-05:00,INGRESO,P048-SM,1,V01,V02,Migración: stock asignado a Nataly según kardex,superadmin@placeholder.com
M0059,2026-01-01T00:00:00-05:00,INGRESO,P048-LXL,1,V01,V02,Migración: stock asignado a Nataly según kardex,superadmin@placeholder.com
M0060,2026-01-01T00:00:00-05:00,VENTA,P002-SM,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0061,2026-01-01T00:00:00-05:00,VENTA,P004-U,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0062,2026-01-01T00:00:00-05:00,VENTA,P016-SM,2,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0063,2026-01-01T00:00:00-05:00,VENTA,P017-SM,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0064,2026-01-01T00:00:00-05:00,VENTA,P019-U,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0065,2026-01-01T00:00:00-05:00,VENTA,P022-U,4,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0066,2026-01-01T00:00:00-05:00,VENTA,P023-U,2,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0067,2026-01-01T00:00:00-05:00,VENTA,P029-SM,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0068,2026-01-01T00:00:00-05:00,VENTA,P032-SM,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0069,2026-01-01T00:00:00-05:00,VENTA,P047-SM,1,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0070,2026-01-01T00:00:00-05:00,VENTA,P048-SM,3,V03,,Migración: venta histórica Carolina,superadmin@placeholder.com
M0071,2026-01-01T00:00:00-05:00,VENTA,P001-SM,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0072,2026-01-01T00:00:00-05:00,VENTA,P001-LXL,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0073,2026-01-01T00:00:00-05:00,VENTA,P048-LXL,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0074,2026-01-01T00:00:00-05:00,VENTA,P010-LXL,2,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0075,2026-01-01T00:00:00-05:00,VENTA,P011-LXL,2,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0076,2026-01-01T00:00:00-05:00,VENTA,P017-SM,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0077,2026-01-01T00:00:00-05:00,VENTA,P035-LXL,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0078,2026-01-01T00:00:00-05:00,VENTA,P047-SM,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0079,2026-01-01T00:00:00-05:00,VENTA,P022-U,3,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0080,2026-01-01T00:00:00-05:00,VENTA,P014-U,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0081,2026-01-01T00:00:00-05:00,VENTA,P018-LXL,2,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0082,2026-01-01T00:00:00-05:00,VENTA,P003-U,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0083,2026-01-01T00:00:00-05:00,VENTA,P005-SM,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0084,2026-01-01T00:00:00-05:00,VENTA,P007-LXL,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0085,2026-01-01T00:00:00-05:00,VENTA,P008-SM,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0086,2026-01-01T00:00:00-05:00,VENTA,P008-LXL,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0087,2026-01-01T00:00:00-05:00,VENTA,P040-LXL,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0088,2026-01-01T00:00:00-05:00,ENTREGA,P049-U,1,V02,V01,Migración: devolución histórica registrada en kardex,superadmin@placeholder.com
M0089,2026-01-01T00:00:00-05:00,VENTA,P041-SM,1,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0090,2026-01-01T00:00:00-05:00,VENTA,P042-SM,3,V02,,Migración: venta histórica Nataly (desde kardex por talla),superadmin@placeholder.com
M0091,2026-01-01T00:00:00-05:00,ENTREGA,P007-LXL,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
M0092,2026-01-01T00:00:00-05:00,ENTREGA,P008-SM,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
M0093,2026-01-01T00:00:00-05:00,ENTREGA,P010-SM,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
M0094,2026-01-01T00:00:00-05:00,ENTREGA,P010-LXL,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
M0095,2026-01-01T00:00:00-05:00,ENTREGA,P011-SM,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
M0096,2026-01-01T00:00:00-05:00,ENTREGA,P015-U,1,V02,V01,Migración: entrega histórica sin talla específica,superadmin@placeholder.com
M0097,2026-01-01T00:00:00-05:00,ENTREGA,P022-U,1,V02,V01,Migración: entrega histórica sin talla específica,superadmin@placeholder.com
M0098,2026-01-01T00:00:00-05:00,ENTREGA,P034-LXL,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
M0099,2026-01-01T00:00:00-05:00,ENTREGA,P048-LXL,1,V02,V01,Migración: entrega histórica desde INV_COMPLETO,superadmin@placeholder.com
